Date,bw-p,by-p,be-p,bb-p,hb-p,hh-p,he-p,ni-p,mv-p,nw-p,rp-p,sl-p,sn-p,st-p,sh-p,th-p,bw-d,by-d,be-d,bb-d,hb-d,hh-d,he-d,ni-d,mv-d,nw-d,rp-d,sl-d,sn-d,st-d,sh-d,th-d
26-Mar,7283,7993,1656,477,211,1265,2157,2347,244,7924,1816,433,1141,418,675,468,56,47,4,1,1,,6,8,,53,6,2,7,1,3,1
27-Mar,8161,9481,1955,537,241,1693,2323,2810,259,9235,1971,505,1305,458,812,542,70,55,8,1,1,2,7,10,,72,8,2,7,2,4,4
28-Mar,9781,11150,2161,645,260,1765,2604,3150,308,10607,2212,550,1432,458,915,584,101,77,8,1,2,2,9,12,,80,11,2,9,2,4,5
29-Mar,9794,12881,2360,721,275,1846,2605,3450,348,11400,2396,560,1617,592,1005,697,101,107,9,1,2,4,9,21,1,98,12,2,9,2,6,5
30-Mar,10943,13989,2464,761,286,2053,3091,3732,356,12178,2584,706,1795,592,1049,719,119,127,11,2,2,5,13,26,1,101,18,7,9,2,7,5
31-Mar,12334,14810,2575,798,294,2191,3283,4063,366,13225,2726,782,1882,680,1120,784,165,162,13,2,4,9,17,34,1,117,19,7,12,6,9,6
01-Apr,13410,16497,2754,881,311,2311,3445,4382,406,14351,2899,829,2034,750,1246,860,197,225,16,4,5,14,21,42,3,134,23,8,17,7,10,6
02-Apr,14662,18496,2970,995,327,2406,3707,4695,438,15427,3132,1020,2183,804,1335,925,241,268,19,7,6,14,27,45,3,161,26,11,18,8,11,7
03-Apr,16059,20237,3202,1075,341,2596,3993,5081,468,16606,3362,1079,2336,836,1443,982,285,307,20,9,6,16,33,65,4,178,26,12,21,11,15,9
04-Apr,17014,21908,3471,1211,354,2697,4279,5571,501,17885,3504,1265,2591,896,1559,1072,316,349,22,12,6,16,42,85,5,200,29,14,24,11,17,10
05-Apr,18614,23846,3613,1305,394,2945,4575,5712,523,18735,3663,1358,2741,919,1631,1140,367,396,24,17,6,19,56,89,5,245,32,14,32,12,18,10
06-Apr,19395,24974,3670,1345,397,2993,4674,5960,528,19384,3882,1483,2903,956,1671,1176,387,437,26,19,8,19,61,92,6,255,32,14,34,12,20,12
07-Apr,20141,26163,3845,1384,399,3059,4837,6200,531,20220,3992,1532,2997,987,1730,1208,433,481,28,20,9,20,73,111,8,282,34,16,38,12,24,18
08-Apr,20680,27564,4028,1472,424,3165,4965,6385,555,20929,4148,1637,3144,1020,1827,1285,464,564,32,22,10,23,84,121,11,348,45,23,50,16,28,20
09-Apr,21603,28827,4202,1578,445,3320,5242,6804,572,21961,4336,1693,3261,1075,1932,1351,519,635,37,30,11,44,100,141,11,384,50,23,52,16,34,20
10-Apr,22433,30363,4349,1691,454,3551,5694,7114,586,23028,4440,1854,3402,1121,2029,1416,570,703,42,37,13,53,111,161,11,446,51,36,59,18,38,24
11-Apr,23617,31453,4458,1764,469,3663,5808,7343,601,23644,4622,2016,3565,1135,2065,1435,622,747,46,37,15,56,120,171,11,472,59,41,65,18,39,25
12-Apr,24078,32282,4567,1857,480,3742,5859,7602,605,24267,4734,2058,3600,1166,2118,1464,649,786,50,38,15,56,123,189,11,495,64,43,67,21,41,25
13-Apr,24570,33015,4601,1880,486,3770,6114,7723,618,24883,4810,2079,3655,1193,2134,1485,677,820,51,38,17,56,135,201,11,518,68,44,68,24,44,27
14-Apr,25040,33569,4668,1916,492,3808,6183,7885,619,25300,4880,2112,3751,1207,2164,1504,711,872,56,40,20,59,147,211,11,545,70,52,70,25,49,31
15-Apr,25438,34294,4722,1950,500,3869,6347,8019,624,25835,5004,2145,3819,1223,2245,1550,767,954,62,42,21,67,173,224,11,607,77,58,73,26,54,38
16-Apr,25881,35142,4848,2058,507,3953,6470,8188,634,26383,5087,2201,3955,1248,2294,1601,802,1049,74,54,21,80,187,248,13,663,87,71,94,26,55,45
17-Apr,26543,36027,4945,2120,556,4005,6705,8442,634,27030,5211,2254,4048,1279,2349,1682,872,1137,84,60,22,84,197,274,13,726,92,76,95,28,59,49
18-Apr,27258,36881,5066,2161,567,4118,6916,8649,645,28006,5324,2289,4140,1315,2387,1717,919,1198,91,62,24,90,212,281,14,791,99,86,103,29,61,50
19-Apr,27883,37407,5159,2221,585,4167,7108,8797,651,28471,5432,2303,4190,1350,2417,1756,968,1256,92,66,25,91,230,288,15,814,106,91,107,30,62,53
20-Apr,28253,37849,5196,2238,604,4185,7177,8900,653,28971,5523,2314,4229,1369,2426,1785,982,1286,94,66,25,91,240,291,15,857,107,91,109,30,67,53
21-Apr,28712,38310,5237,2275,609,4204,7231,9098,655,29389,5561,2328,4253,1383,2414,1798,1031,1336,97,67,25,91,251,306,15,896,116,93,117,32,70,55
22-Apr,28898,38814,5312,2389,624,4204,7380,9236,656,30185,5593,2367,4273,1395,2496,1872,1063,1424,105,74,26,91,265,328,15,964,122,97,122,33,79,71
23-Apr,29443,39395,5324,2447,672,4286,7593,9391,659,30584,5643,2395,4327,1425,2530,1932,1113,1476,105,84,27,113,286,340,15,999,131,99,127,34,84,61
24-Apr,29792,39939,5459,2536,707,4358,7712,9544,661,31106,5731,2445,4377,1436,2557,2023,1153,1525,112,90,27,122,296,364,16,1052,136,105,135,35,88,65
25-Apr,30169,40547,5525,2627,719,4400,7837,9691,667,31465,5767,2468,4406,1480,2612,2058,1189,1566,113,97,27,139,305,377,16,1084,138,107,141,35,95,71
26-Apr,30761,40912,5600,2694,739,4429,7946,9785,673,31669,5835,2482,4428,1494,2630,2098,1237,1596,123,100,27,140,315,384,16,1096,147,107,147,36,96,73
27-Apr,31043,41070,5638,2721,754,4475,7979,9847,674,31879,5879,2503,4458,1515,2638,2120,1249,1621,125,100,27,142,320,391,16,1131,152,121,147,36,98,74
28-Apr,31196,41406,5669,2747,759,4505,8026,9926,675,32184,5928,2509,4490,1520,2653,2144,1269,1681,127,106,27,142,333,394,17,1171,157,123,148,39,101,78
29-Apr,31336,41830,5734,2768,797,4525,8184,9972,687,32429,5982,2514,4509,1525,2679,2170,1299,1754,137,109,29,153,346,406,17,1200,161,129,153,39,103,80
30-Apr,31609,42080,5827,2831,827,4562,8304,10067,690,32687,6029,2552,4561,1549,2690,2254,1353,1799,147,113,29,155,353,416,17,1219,166,131,156,43,106,85
01-May,31919,42489,5887,2872,859,4604,8376,10141,693,33058,6086,2581,4592,1564,2714,2323,1385,1850,149,120,30,163,360,429,18,1261,172,135,162,44,110,93
02-May,32146,42658,5943,2886,871,4609,8486,10246,695,33216,6099,2597,4617,1571,2728,2335,1402,1885,152,122,30,163,364,451,18,1268,173,135,163,44,112,93
03-May,32291,42792,5976,2905,875,4631,8524,10283,698,33428,6133,2605,4696,1576,2738,2345,1412,1910,154,122,30,164,370,453,18,1287,176,138,165,44,113,93
04-May,32411,42997,6010,2914,893,4636,8549,10325,699,33560,6150,2608,4702,1578,2788,2355,1421,1926,154,122,30,166,372,456,18,1290,177,139,167,45,113,96
05-May,32482,43162,6042,2940,895,4644,8585,10380,703,33728,6160,2618,4745,1585,2799,2392,1452,1949,154,123,31,172,381,463,19,1332,182,139,171,46,118,99
06-May,32576,43371,6092,2969,916,4664,8642,10453,711,33977,6191,2627,4784,1590,2815,2429,1481,2001,159,127,31,190,386,470,19,1358,187,141,177,46,119,104
07-May,32762,43658,6149,2999,963,4704,8736,10564,715,34249,6213,2655,4836,1602,2834,2452,1497,2050,162,129,32,194,396,478,19,1372,189,143,181,48,120,109
08-May,32898,43905,6209,3037,997,4753,8850,10686,718,34522,6241,2658,4839,1615,2860,2512,1515,2114,163,131,32,201,403,493,19,1397,192,140,184,48,122,112
09-May,33105,44169,6242,3098,1024,4772,8916,10803,722,34817,6282,2660,4873,1637,2898,2533,1534,2147,164,133,32,204,408,496,19,1424,195,142,186,48,122,115
10-May,33287,44265,6261,3101,1043,4772,8998,10827,726,34964,6291,2663,4886,1640,2938,2556,1542,2153,165,134,32,204,411,498,19,1425,195,142,187,48,123,117
11-May,33190,44368,6272,3106,1055,4780,9012,10854,728,35132,6313,2665,4915,1643,2957,2585,1545,2155,165,134,34,204,412,498,19,1437,195,142,187,48,124,118
12-May,33359,44593,6274,3111,1058,4960,9031,10895,729,35333,6355,2665,4947,1648,2956,2594,1568,2182,165,136,35,216,415,507,20,1456,206,144,190,50,125,118
13-May,33518,44802,6298,3125,1077,4972,9087,10903,736,35555,6360,2667,4962,1650,2972,2622,1594,2209,170,137,36,223,419,508,20,1473,207,144,191,52,125,126
14-May,33670,44980,6342,3135,1104,4976,9169,11003,739,35741,6382,2677,5031,1656,2982,2652,1608,2229,173,138,37,228,423,524,20,1483,212,145,195,52,125,131
15-May,33851,45143,6397,3158,1129,4981,9204,11087,740,35967,6413,2684,5061,1668,2998,2681,1628,2260,177,148,37,228,429,534,20,1493,213,147,195,54,126,135
16-May,33893,45340,6428,3169,1150,5017,9261,11092,746,36065,6449,2688,5089,1676,2998,2711,1644,2273,181,149,37,231,432,535,20,1500,216,149,197,54,126,137
17-May,33950,45427,6447,3171,1164,5029,9317,11155,748,36286,6449,2696,5115,1676,3000,2725,1648,2283,182,149,37,232,435,544,20,1505,216,149,196,54,126,138
18-May,34000,45507,6458,3172,1171,5037,9337,11167,752,36365,6490,2696,5125,1678,3002,2740,1652,2287,180,149,38,232,439,545,20,1512,217,149,196,54,126,139
19-May,34034,45639,6478,3185,1237,5042,9368,11207,752,36485,6520,2699,5133,1679,3002,2750,1653,2314,182,150,38,232,442,548,20,1525,222,154,198,54,128,147
20-May,34115,45766,6507,3193,1256,5042,9483,11288,755,36766,6529,2703,5150,1680,3014,2760,1672,2339,186,151,38,236,446,557,20,1537,222,154,198,54,131,149
21-May,34175,45929,6555,3205,1273,5053,9574,11362,762,36912,6555,2706,5185,1689,3021,2796,1680,2348,186,151,39,239,451,566,20,1546,224,157,201,54,134,151
22-May,34174,46024,6585,3211,1291,5059,9656,11420,763,37010,6566,2707,5197,1692,3039,2818,1680,2358,190,152,39,240,457,568,20,1547,224,157,203,54,134,151
23-May,34345,46132,6614,3213,1296,5063,9670,11521,763,37139,6582,2709,5219,1692,3062,2830,1692,2367,190,154,41,240,458,571,20,1555,226,157,204,54,136,151
24-May,34399,46206,6637,3214,1299,5066,9762,11578,760,37223,6590,2713,5221,1694,3062,2857,1697,2377,191,154,41,241,460,572,20,1563,227,157,204,54,137,152
25-May,34431,46326,6642,3214,1312,5069,9770,11578,760,37298,6596,2716,5231,1694,3062,2871,1698,2382,191,154,41,241,460,572,20,1565,228,157,205,54,137,152
26-May,34466,46456,6652,3236,1313,5069,9804,11646,760,37395,6600,2727,5236,1698,3067,2877,1707,2401,191,154,42,241,462,574,20,1571,228,158,207,54,139,153
27-May,34500,46458,6673,3246,1322,5072,9860,11678,760,37541,6611,2730,5247,1698,3070,2898,1724,2404,193,154,42,242,466,578,20,1577,229,160,208,55,140,157
28-May,34129,46729,6703,3261,1348,5076,9915,11750,760,37698,6652,2731,5260,1701,3072,2932,1724,2438,195,155,41,245,471,583,20,1582,230,161,210,55,143,158
29-May,34479,46809,6738,3271,1372,5078,9962,11832,759,37803,6673,2716,5230,1700,3078,2958,1743,2441,196,155,41,246,476,585,20,1588,230,162,209,55,144,159
30-May,34718,46854,6767,3266,1398,5082,10003,11958,760,37910,6695,2723,5297,1701,3090,2974,1748,2450,197,155,42,246,476,593,20,1595,230,163,213,55,145,161
31-May,34718,46917,6800,3271,1398,5087,10033,11992,761,38000,6694,2724,5304,1705,3094,2984,1748,2450,198,155,42,252,477,593,20,1597,230,163,213,55,145,162
01-Jun,34784,47004,6816,3273,1398,5089,10047,12043,761,38046,6703,2724,5309,1706,3097,3015,1752,2451,198,155,42,253,480,593,20,1598,230,163,214,55,145,162
02-Jun,34796,47029,6839,3274,1436,5098,10060,12065,761,38100,6704,2730,5309,1707,3103,3017,1758,2456,198,155,42,253,480,594,20,1599,230,163,211,55,145,163
03-Jun,34813,47138,6874,3273,1447,5098,10080,12114,761,38185,6712,2735,5305,1707,3106,3022,1760,2466,198,156,43,277,480,596,20,1607,230,163,212,55,146,166
04-Jun,34830,47209,6901,3280,1462,5096,10129,12182,763,38297,6719,2737,5312,1711,3103,3033,1761,2479,200,156,44,253,482,601,20,1611,230,164,212,55,146,167
05-Jun,34870,47268,6946,3288,1498,5107,10163,12277,764,38439,6732,2738,5315,1712,3103,3051,1778,2481,200,156,44,253,482,604,20,1617,230,166,212,55,146,169
06-Jun,34898,47326,6964,3294,1513,5111,10171,12399,766,38524,6761,2740,5321,1717,3107,3066,1790,2489,201,158,44,254,483,605,20,1622,230,166,212,55,147,170
07-Jun,34912,47334,6997,3297,1517,5113,10203,12466,773,38616,6775,2747,5323,1720,3109,3077,1791,2501,205,158,44,254,484,605,20,1623,230,166,214,56,147,170
08-Jun,34937,47371,7016,3304,1531,5115,10207,12509,774,38660,6781,2747,5330,1720,3110,3081,1791,2505,205,160,44,254,484,605,20,1623,230,166,214,56,147,170
09-Jun,34958,47423,7042,3302,1532,5117,10237,12601,780,38743,6787,2754,5333,1720,3114,3100,1795,2521,205,160,43,254,484,606,20,1635,230,167,217,56,148,170
10-Jun,34965,47479,7082,3309,1547,5121,10256,12626,777,38845,6810,2763,5337,1721,3115,3108,1798,2531,206,160,43,254,485,607,20,1636,231,167,217,56,148,170
11-Jun,35002,47536,7138,3352,1565,5125,10296,12727,778,38983,6827,2766,5346,1728,3117,3130,1801,2536,208,161,43,254,489,610,20,1641,231,167,219,56,148,171
12-Jun,35057,47574,7165,3306,1573,5134,10313,12777,780,39060,6827,2769,5344,1732,3120,3143,1802,2538,208,161,45,254,489,610,20,1643,231,168,219,56,148,171
13-Jun,35090,47612,7252,3326,1581,5139,10321,12822,781,39137,6838,2770,5345,1734,3120,3154,1805,2540,208,163,45,255,491,613,20,1643,231,168,219,56,150,174
14-Jun,35090,47626,7282,3326,1589,5139,10324,12874,782,39233,6840,2772,5346,1756,3121,3169,1805,2541,208,163,46,255,491,614,20,1645,231,168,218,57,151,174
15-Jun,35090,47642,7322,3329,1592,5144,10324,12909,782,39307,6841,2772,5347,1758,3121,3171,1805,2541,208,163,48,255,491,614,20,1646,231,168,219,57,151,174
16-Jun,35150,47690,7369,3334,1593,5147,10371,12950,784,39415,6846,2773,5349,1771,3122,3175,1808,2540,208,163,48,255,495,614,20,1648,231,168,220,57,151,174
17-Jun,35177,47710,7402,3362,1607,5149,10386,12968,786,39573,6856,2773,5350,1775,3122,3188,1811,2546,209,163,49,257,496,615,20,1655,233,168,221,57,152,178
18-Jun,35218,47747,7475,3365,1619,5154,10440,13063,787,39777,6874,2773,5359,1802,3122,3189,1816,2556,210,163,49,259,498,618,20,1658,234,168,221,57,152,177
19-Jun,35236,47799,7603,3374,1626,5156,10503,13097,791,40156,6883,2774,5382,1818,3131,3205,1821,2562,211,163,49,259,499,618,20,1660,234,168,221,57,152,178
20-Jun,35272,47827,7733,3383,1636,5160,10556,13136,791,40372,6903,2776,5408,1839,3133,3210,1824,2566,211,163,49,259,500,618,20,1663,234,168,221,57,152,178
21-Jun,35272,47843,7804,3388,1645,5163,10575,13136,792,40921,6907,2778,5408,1842,3134,3214,1824,2565,211,163,49,259,500,618,20,1663,234,168,221,57,152,178
22-Jun,35272,47867,7833,3394,1648,5170,10578,13283,792,41218,6917,2778,5408,1844,3136,3221,1824,2567,211,163,49,259,501,618,20,1663,234,168,221,57,152,178
23-Jun,35365,47894,7916,3407,1654,5170,10613,13312,792,41418,6919,2778,5408,1851,3136,3229,1826,2571,211,164,49,259,501,619,20,1665,234,168,221,57,152,178
24-Jun,35409,47995,7975,3413,1653,5175,10645,13327,794,41678,6924,2801,5436,1856,3137,3231,1826,2578,211,164,49,259,503,622,20,1668,235,169,222,58,152,178
25-Jun,35446,48122,8021,3428,1653,5175,10666,13378,796,41992,6940,2801,5438,1858,3140,3225,1827,2583,212,165,49,259,505,623,20,1669,235,169,223,58,152,178
26-Jun,35476,48202,8096,3437,1658,5173,10707,13422,797,42150,6951,2802,5439,1862,3144,3240,1830,2594,212,165,49,259,505,625,20,1673,235,171,222,58,152,178
27-Jun,35530,48262,8145,3437,1659,5178,10731,13456,798,42571,6971,2802,5444,1865,3146,3248,1829,2591,213,165,50,259,506,627,20,1674,235,172,222,58,152,181
28-Jun,35530,48294,8168,3417,1661,5178,10761,13478,801,42723,6974,2805,5444,1868,3147,3250,1829,2592,213,165,50,259,506,628,20,1674,235,173,222,58,152,181
29-Jun,35530,48344,8176,3419,1661,5194,10762,13502,801,42869,6987,2806,5444,1869,3147,3250,1829,2592,213,165,50,259,506,628,20,1678,235,173,222,58,152,181
30-Jun,35620,48400,8220,3429,1662,5201,10795,13535,802,43066,6996,2806,5448,1871,3154,3254,1830,2594,214,165,53,259,508,628,20,1680,235,173,223,58,152,181
