date,19-xt,20-xt,30-xt,40-xt,50-xt,60-xt,70-xt,80-xt,xx-xt,il-xt
2020-09-08,,,,,,,,,,
2020-09-09,,,,,,,,,,
2020-09-10,,,,,,,,,,
2020-09-11,,,,,,,,,,
2020-09-12,,,,,,,,,,
2020-09-13,,,,,,,,,,
2020-09-14,,,,,,,,,,
2020-09-15,,,,,,,,,,
2020-09-16,,,,,,,,,,
2020-09-17,,,,,,,,,,
2020-09-18,,,,,,,,,,
2020-09-19,,,,,,,,,,
2020-09-20,,,,,,,,,,
2020-09-21,,,,,,,,,,
2020-09-22,,,,,,,,,,
2020-09-23,,,,,,,,,,
2020-09-24,,,,,,,,,,
2020-09-25,,,,,,,,,,
2020-09-26,,,,,,,,,,
2020-09-27,,,,,,,,,,
2020-09-28,,,,,,,,,,
2020-09-29,,,,,,,,,,
2020-09-30,,,,,,,,,,
2020-10-01,,,,,,,,,,
2020-10-02,,,,,,,,,,
2020-10-03,,,,,,,,,,
2020-10-04,,,,,,,,,,
2020-10-05,,,,,,,,,,
2020-10-06,,,,,,,,,,
2020-10-07,,,,,,,,,,
2020-10-08,,,,,,,,,,
2020-10-09,,,,,,,,,,
2020-10-10,,,,,,,,,,
2020-10-11,,,,,,,,,,
2020-10-12,,,,,,,,,,
2020-10-13,,,,,,,,,,
2020-10-14,,,,,,,,,,
2020-10-15,,,,,,,,,,
2020-10-16,,,,,,,,,,
2020-10-17,,,,,,,,,,
2020-10-18,,,,,,,,,,
2020-10-19,,,,,,,,,,
2020-10-20,,,,,,,,,,
2020-10-21,,,,,,,,,,
2020-10-22,,,,,,,,,,
2020-10-23,,,,,,,,,,
2020-10-24,,,,,,,,,,
2020-10-25,,,,,,,,,,
2020-10-26,,,,,,,,,,
2020-10-27,,,,,,,,,,
2020-10-28,,,,,,,,,,
2020-10-29,,,,,,,,,,
2020-10-30,,,,,,,,,,
2020-10-31,,,,,,,,,,
2020-11-01,,,,,,,,,,
2020-11-02,,,,,,,,,,
2020-11-03,,,,,,,,,,
2020-11-04,,,,,,,,,,
2020-11-05,,,,,,,,,,
2020-11-06,,,,,,,,,,
2020-11-07,,,,,,,,,,
2020-11-08,,,,,,,,,,
2020-11-09,,,,,,,,,,
2020-11-10,,,,,,,,,,
2020-11-11,,,,,,,,,,
2020-11-12,,,,,,,,,,
2020-11-13,,,,,,,,,,
2020-11-14,,,,,,,,,,
2020-11-15,,,,,,,,,,
2020-11-16,,,,,,,,,,
2020-11-17,,,,,,,,,,
2020-11-18,,,,,,,,,,
2020-11-19,,,,,,,,,,
2020-11-20,,,,,,,,,,
2020-11-21,,,,,,,,,,
2020-11-22,,,,,,,,,,
2020-11-23,,,,,,,,,,
2020-11-24,,,,,,,,,,
2020-11-25,,,,,,,,,,
2020-11-26,,,,,,,,,,
2020-11-27,,,,,,,,,,
2020-11-28,,,,,,,,,,
2020-11-29,,,,,,,,,,
2020-11-30,,,,,,,,,,
2020-12-01,,,,,,,,,,
2020-12-02,,,,,,,,,,
2020-12-03,,,,,,,,,,
2020-12-04,,,,,,,,,,
2020-12-05,,,,,,,,,,
2020-12-06,,,,,,,,,,
2020-12-07,,,,,,,,,,
2020-12-08,,,,,,,,,,
2020-12-09,,,,,,,,,,
2020-12-10,,,,,,,,,,
2020-12-11,,,,,,,,,,
2020-12-12,,,,,,,,,,
2020-12-13,,,,,,,,,,
2020-12-14,,,,,,,,,,
2020-12-15,,,,,,,,,,
2020-12-16,,,,,,,,,,
2020-12-17,,,,,,,,,,
2020-12-18,,,,,,,,,,
2020-12-19,,,,,,,,,,
2020-12-20,,341,1167,1810,1822,1561,521,94,,7316
2020-12-21,47,1288,3862,5525,5472,8629,5661,1518,,32002
2020-12-22,123,2717,7432,10040,10064,22519,17989,5693,,76577
2020-12-23,252,4615,11184,14973,15368,43175,36862,12740,,139169
2020-12-24,409,6543,14916,20135,20962,67691,59567,22243,,212466
2020-12-25,516,7269,16295,22403,23858,80485,72363,27806,,250995
2020-12-26,591,7736,17257,24086,26240,91812,83435,32470,,283627
2020-12-27,986,11246,23210,32481,36163,123584,113133,47355,,388158
2020-12-28,1828,17863,32615,45797,50830,162359,147397,64343,,523032
2020-12-29,2865,25375,43887,61974,69183,205309,184631,85970,,679194
2020-12-30,3964,33502,55328,77959,89816,246582,218860,106064,,832075
2020-12-31,5335,43067,69185,97304,116235,285345,249650,125071,,991192
2021-01-01,6039,46298,75016,106783,130289,303068,262611,132962,,1063066
2021-01-02,6793,49543,80595,118263,148548,317809,273308,140282,,1135141
2021-01-03,8431,59349,93217,137473,176768,353353,299936,156798,,1285325
2021-01-04,10051,70515,107019,159960,207518,385785,324146,172113,,1437107
2021-01-05,11404,79272,118138,177422,231043,414915,345467,185276,,1562937
2021-01-06,12552,87359,127234,191260,249700,439493,362563,196585,,1666746
2021-01-07,14008,96175,138985,210225,274969,463460,378497,206636,,1782955
2021-01-08,15766,101758,147782,226248,289872,473379,384515,210161,,1849481
2021-01-09,16695,105087,154431,238990,299988,478925,387875,212103,,1894094
2021-01-10,17309,108236,160136,248148,307624,484611,391440,214280,,1931784
2021-01-11,17528,109954,163342,253341,312689,487222,393139,215390,,1952605
2021-01-12,17762,112371,166202,257746,320311,490695,394984,216478,,1976549
2021-01-13,18242,116126,171163,265552,343181,497501,398221,218288,,2028274
2021-01-14,18997,121575,178156,275597,366417,503219,400715,219627,,2084303
2021-01-15,19539,124732,182823,281475,378258,505927,401949,220318,,2115021
2021-01-16,19988,126800,186143,289400,390836,507816,402744,220766,,2144493
2021-01-17,21502,138064,192872,306962,413660,512656,405135,222044,,2212895
2021-01-18,23443,154676,200204,326572,430757,516886,407176,223109,,2282823
2021-01-19,25176,169763,209321,351212,446160,521055,409240,224220,,2356147
2021-01-20,27039,182403,221617,380357,460063,524944,411141,225222,,2432786
2021-01-21,28850,192036,234732,406038,471889,528997,413266,226462,,2502270
2021-01-22,29940,195779,242476,421388,477794,531189,414232,227093,,2539891
2021-01-23,36410,199227,248614,435767,484128,532852,415063,227601,,2579662
2021-01-24,47118,211217,258942,455526,493076,536641,417111,228852,,2648483
2021-01-25,60201,227670,272067,475969,502977,540697,419284,230136,,2729001
2021-01-26,72953,243870,285698,495208,511648,544323,421285,231334,,2806319
2021-01-27,87215,258994,299076,514893,520361,547693,423070,232448,,2883750
2021-01-28,99631,275134,318744,532410,528266,550797,424647,233308,,2962937
2021-01-29,105008,281007,329059,541511,531896,552106,425199,233614,,2999400
2021-01-30,109777,286065,339258,550602,535257,553145,425664,233821,,3033589
2021-01-31,118388,299672,360134,567427,542759,556227,427274,234698,,3106579
2021-02-01,127298,319789,383605,583061,550732,559427,429065,235813,,3188790
2021-02-02,134799,335885,403115,596955,557462,562404,430801,236966,,3258387
2021-02-03,140290,350745,419529,607720,563177,565038,432370,238090,,3316959
2021-02-04,145841,372723,442716,618544,568585,567398,433570,238908,,3388285
2021-02-05,148351,382352,454056,623948,571350,568535,434120,239236,,3421948
2021-02-06,150089,388871,460878,627040,572997,569113,434381,239410,,3442779
2021-02-07,154150,404753,477155,634977,577473,571231,435487,240151,,3495377
2021-02-08,157965,424049,495478,643030,582105,573429,436640,240867,,3553563
2021-02-09,162282,445880,514557,652421,587679,576051,437921,241714,,3618505
2021-02-10,166908,468739,535079,662416,593521,578776,439252,242439,,3687130
2021-02-11,172215,494647,558080,674445,600356,581998,440683,243217,,3765641
2021-02-12,174971,507300,569424,680483,603902,583507,441307,243566,,3804460
2021-02-13,177200,516231,576879,684819,606593,584557,441703,243765,,3831747
